,lat,lng
0,33.2442813,-86.8163773
1,34.1748208,-86.8436124
2,33.6198251,-86.60887559999999
3,33.5185892,-86.8103567
4,33.2098407,-87.56917349999999
5,38.3914418,-86.9311094
6,33.7748275,-84.2963123
7,43.7695604,11.2558136
8,43.0730517,-89.4012302
9,34.7303688,-86.5861037
10,34.014264,-86.0066386
11,34.3581473,-86.29470409999999
12,32.3792233,-86.3077368
13,33.6598257,-85.8316318
14,31.2232313,-85.3904888
15,30.671469,-87.90188289999999
16,30.5229719,-87.9033261
17,30.2460361,-87.70081929999999
18,30.2697033,-87.5867598
19,37.04754399999999,-95.63841099999999
20,32.6454116,-85.3782795
21,32.4709761,-85.0007653
22,61.2180556,-149.9002778
23,60.48999999999999,-149.8341667
24,45.9171763,-89.2442988
25,62.3019444,-145.3019445
26,60.95432469999999,-149.1598983
27,59.64250000000001,-151.5483333
28,60.55444439999999,-151.2583333
29,57.79000000000001,-152.4072221
30,37.09024,-95.712891
31,61.5813889,-149.4394444
32,60.10416669999999,-149.4422222
33,60.4877778,-151.0583332
34,62.32090460000001,-150.1066221
35,64.8377778,-147.7163888
36,36.7233945,-97.07961429999999
37,41.9247285,-87.72796129999999
38,64.5638889,-149.0930556
39,58.3019444,-134.4197221
40,59.2358333,-135.445
41,58.11,-135.4436111
42,57.0530556,-135.33
43,59.45540250000001,-135.315279
44,55.34222219999999,-131.6461112
45,33.4483771,-112.0740373
46,33.2486638,-111.6342993
47,33.4151843,-111.8314724
48,33.3061605,-111.8412502
49,33.3528264,-111.789027
50,33.4941704,-111.9260519
51,33.4941704,-111.9260519
52,33.6042079,-111.7256936
53,33.4255104,-111.9400054
54,34.1425078,-118.255075
55,33.4355977,-112.3496021
56,33.8333716,-111.9507042
57,37.0700354,-94.4767007
58,33.4933743,-112.3579364
59,40.6936488,-89.5889864
60,32.6926512,-114.6276916
61,31.4481547,-109.9284084
62,42.0354084,-88.2825668
63,29.7569509,-95.37097329999999
64,31.6795337,-110.6553594
65,31.7128683,-110.0675764
66,32.2226066,-110.9747108
67,34.2542084,-110.0298327
68,37.09024,-95.712891
69,35.1982836,-111.651302
70,36.9902621,-112.9757702
71,37.09024,-95.712891
72,34.5400242,-112.4685025
73,34.6100243,-112.315721
74,34.5636358,-111.8543178
75,34.7575227,-112.4537809
76,29.8182805,-95.41010360000001
77,34.8697395,-111.7609896
78,34.5039684,-112.6848712
79,35.189443,-114.0530065
80,34.483901,-114.3224548
81,34.5216915,-93.0423545
82,34.5037004,-93.0551795
83,41.3304642,-72.9726305
84,34.384816,-93.38185209999999
85,34.769536,-92.2670941
86,34.7464809,-92.28959479999999
87,36.0584021,-90.4973286
88,40.9700171,-73.7176337
89,43.1329504,-115.6911975
90,36.2095132,-92.284323
91,35.0526641,-78.87835849999999
92,35.0526641,-78.87835849999999
93,36.3728538,-94.2088172
94,37.09024,-95.712891
95,36.1881365,-94.54049619999999
96,36.18674420000001,-94.1288141
97,48.856614,2.3522219
98,35.3859242,-94.39854749999999
99,34.0522342,-118.2436849
100,34.0211224,-118.3964665
