,Brewery,Address,City,State,ZIP Code
9,Braided River Brewing Company,,Mobile,AL,36606
10,"Brewery in Planning - Columbiana, AL",,Columbiana,AL,35051
12,Chandler's Ford Brewing LLC,,Huntsville,AL,35801
27,"Hard Times Brewing Company, Inc.",,Pelham,AL,35124
31,Neighbors,,Birmingham,AL,35223
33,Old Majestic Brewing Company,,Mobile,AL,36602
37,Sand Mtn brewery,,Section,AL,35771
42,Southern Ale Works,,Huntsville,AL,35803
71,Growler Bay Brewing Co,,Valdez,AK,99686
85,Midnite Mine Brewpub,,Fairbanks,AK,99701
87,Onsite Brewing Company,,Anchorage,AK,99503
94,Turnagain Brewing,,Anchorage,AK,99507
100,Arizona Craft Brewing,,Elgin,AZ,85611
114,Brewery in Planning - Sierra Vista,,Sierra Vista,AZ,85635
140,Front Pourch Brewing,,Phoenix,AZ,
159,LazyG Brewhouse,,Prescott,AZ,86303
170,Motosonora Brewing Company,,Tucson,AZ,85719
193,Roadrunner Abbey Brewing,,Chandler,AZ,85249
196,SanTan Brewing and Distilling - Uptown Phoenix,,Phoenix,AZ,85014
207,Sun Up Brewing Company 330,,Phoenix,AZ,85012
224,Whirling Skirmish Brewing Company,,Scottsdale,AZ,85254
225,Wicked Monkey Brewing Co,,Marana,AZ,85653
231,"Blade & Barrel Brewing Co, LLC",,Searcy,AR,72143
246,Gotahold Brewing Company,,Eureka Springs,AR,72632
277,3 Disciples Brewing,,Sebastopol,CA,95472
290,Acoustic Ales Brewing Experiment,,San Diego,CA,92110
303,Alpenglow Beer Co,,Lafayette,CA,94549
331,At Ease Brewing,,Sacramento,CA,95811
345,Ballast Point San Francisco,,San Francisco,CA,94158
363,Bear Belly Brewing Company,,Kings Beach,CA,96143
410,Border X Logan,2181 Logan Ave,San Diego,CA,92113
422,Brewery In Planning - Claremont,,Claremont,CA,91711
423,Brewery in Planning - corcoran,,Corcoran,CA,93212
425,"Brewery in Planning - Culver City, CA",,Culver City,CA,90230
426,Brewery In Planning - Elk Grove,,Elk Grove,CA,95624
427,Brewery in Planning - Los Angeles,,Los Angeles,CA,90049
428,"Brewery in Planning - Martinez, CA",,Martinez,CA,94553
429,"Brewery in Planning - Moraga, CA",,Moraga,CA,94556
430,Brewery in Planning - Oakland,,Oakland,CA,94611
431,"Brewery in Planning - Orange, CA",,Orange,CA,92866
432,Brewery in Planning - Rancho Cucamonga,,Rancho Cucamonga,CA,91737
433,Brewery in Planning - Rancho Cucamonga,,Rancho Cucamonga,CA,91730
434,"Brewery in Planning - Red Bluff, CA",,Red Bluff,CA,96080
435,"Brewery in Planning - sacramento, CA",,sacramento,CA,95817
436,Brewery in Planning - Stevenson Ranch,,Stevenson Ranch,CA,91381
437,Brewery In Planning - Vacaville,,Vacaville,CA,95688
442,Brewjeria Company,,Hacienda Heights,CA,91745
444,BrewMasters MX,,Hawthorne,CA,90250
457,Buzzrock Brewing Co.,,Torrance,CA,90503
460,California Cider Co.,,Sebastopol,CA,95472
464,Campsite Brewing Company,,Claremont,CA,91711
465,Can Of Worms Brewing,,Glendale,CA,91214
466,Canyon Club Brewery,,Moraga,CA,94556
470,Carmel Valley Brewing Company,,Carmel Valley,CA,
478,Cerveceria Del Pueblo,,Pasadena,CA,91105
481,Chau Tien Beer Company,,Fairfield,CA,94533
482,Chihuahua Brewing Co.,,Orange County,CA,
488,"Civic Partners, Inc",,Huntington Beach,CA,92647
516,Dark Sea Cinema And Brewery,,Oakland,CA,94607
522,Delahunt Brewing Company,,San Clemente,CA,92673
532,Divine Science Brewing,,Anaheim,CA,92805
542,Draughtsman Brewery,,La Mirada,CA,90638
546,DTSJ Brewing Company,,San Jose,CA,95116
603,Five Eye Brewing,,GUSTINE,CA,95322
615,Four Sons Brewing,18421 Gothard St Ste 100,Huntington Beach,CA,92648
619,"G8 Development, Inc.",,San Diego,CA,92109
643,Green Flash Brewing Co,6550 Mira Mesa Blvd,San Diego,CA,92121
644,Greywolf Brewing,,Riverside,CA,92508
651,Gyppo Ale Mill,,Whitethorn,CA,95589
