,STATE,ZIPCODE,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT
1,AL,35004,5210,5210,290260,4550,234833
2,AL,35005,3100,3100,121690,2660,98565
3,AL,35006,1200,1200,57418,1040,43707
4,AL,35007,11940,11940,697882,10180,545418
5,AL,35010,7910,7910,384319,6700,266658
6,AL,35014,1620,1620,75228,1410,57364
7,AL,35016,7130,7130,366988,5680,262108
8,AL,35019,890,890,38993,740,30460
9,AL,35020,9050,9050,251540,7930,207009
10,AL,35022,9800,9800,551747,8270,432275
11,AL,35023,10050,10050,469381,8330,358387
12,AL,35031,2860,2860,121339,2400,95760
13,AL,35033,1380,1380,81906,1160,59485
14,AL,35034,1390,1390,52266,1230,40327
15,AL,35035,570,570,37725,460,21504
16,AL,35040,7590,7590,402014,6780,332262
17,AL,35042,2200,2200,103462,1880,81515
18,AL,35043,5070,5070,422071,4300,317647
19,AL,35044,3060,3060,128191,2610,96251
20,AL,35045,5500,5500,257571,4630,192997
21,AL,35046,2350,2350,125440,1890,90849
22,AL,35049,1550,1550,76185,1300,61363
23,AL,35051,3290,3290,208502,2750,142647
24,AL,35053,1050,1050,67089,740,41015
25,AL,35054,1820,1820,127737,1410,78989
26,AL,35055,7950,7950,415554,6610,297425
27,AL,35057,5290,5290,285110,4450,212561
28,AL,35058,4220,4220,215699,3500,158418
29,AL,35060,160,160,4445,130,3526
30,AL,35061,640,640,22427,550,17170
31,AL,35062,3220,3220,171707,2720,131341
32,AL,35063,1200,1200,52224,1020,40050
33,AL,35064,4300,4300,147677,3710,110856
34,AL,35068,3760,3760,180971,3210,147047
35,AL,35071,7480,7480,464235,6100,345666
36,AL,35072,1820,1820,72208,1580,57255
37,AL,35073,930,930,36588,760,27810
38,AL,35077,5210,5210,223225,4380,172400
39,AL,35078,870,870,43268,730,32829
40,AL,35079,3420,3420,185521,2960,145443
41,AL,35080,7840,7840,562560,6850,458108
42,AL,35083,1200,1200,54355,1030,43388
43,AL,35085,3400,3400,153921,2930,124434
44,AL,35087,840,840,33612,700,25658
45,AL,35089,750,750,24222,660,19884
46,AL,35091,1260,1260,86371,1140,73067
47,AL,35094,6290,6290,352220,5240,256438
48,AL,35096,3420,3420,171424,2930,134892
49,AL,35097,770,770,37608,640,29639
50,AL,35098,560,560,24644,450,19642
51,AL,35111,6970,6970,438293,5910,338664
52,AL,35112,180,180,5893,150,5132
53,AL,35114,3070,3070,198704,2640,161605
54,AL,35115,5200,5200,232431,4350,173542
55,AL,35116,2000,2000,123862,1650,90991
56,AL,35117,2680,2680,168588,2210,128244
57,AL,35118,1350,1350,61394,1100,45049
58,AL,35120,6110,6110,324451,5420,266963
59,AL,35121,5880,5880,306816,4760,208682
60,AL,35124,11730,11730,940188,9720,633974
61,AL,35125,4390,4390,199723,3760,150842
62,AL,35126,9500,9500,501447,8150,393464
63,AL,35127,4340,4340,222942,3720,173570
64,AL,35128,4270,4270,262744,3570,187000
65,AL,35130,1200,1200,54045,1000,39765
66,AL,35131,1480,1480,62565,1280,51523
67,AL,35133,1560,1560,78422,1290,57908
68,AL,35135,810,810,45183,670,34966
69,AL,35136,650,650,31357,520,21044
70,AL,35143,1240,1240,67377,970,45407
71,AL,35146,4520,4520,293899,3760,217178
72,AL,35147,2280,2280,163944,1980,124456
73,AL,35148,1060,1060,45598,870,32132
74,AL,35149,240,240,8442,210,7199
75,AL,35150,6940,6940,297473,6060,224838
76,AL,35151,2940,2940,143276,2500,112965
77,AL,35160,9680,9680,405145,8280,298137
78,AL,35171,1330,1330,72157,1170,56240
79,AL,35172,1120,1120,47755,940,37946
80,AL,35173,12710,12710,1060223,10610,773258
81,AL,35175,2060,2060,122506,1660,83390
82,AL,35176,330,330,14056,280,11275
83,AL,35178,1460,1460,67281,1220,48532
84,AL,35179,3730,3730,189961,3150,144047
85,AL,35180,5680,5680,314796,4820,245749
86,AL,35183,280,280,13040,230,9932
87,AL,35184,2080,2080,92146,1840,74163
88,AL,35186,2020,2020,147767,1680,98555
