,STATE,ZIP Code,NUMBER OF RETURNS,NUMBER OF RETURNS WITH TOTAL INCOME,TOTAL INCOME AMOUNT,NUMBER OF RETURNS WITH SALARIES AND WAGES,SALARIES AND WAGES AMOUNT,Brewery,Address,City,State
0,AL,35004,5210.0,5210.0,290260.0,4550.0,234833.0,,,,
1,AL,35005,3100.0,3100.0,121690.0,2660.0,98565.0,,,,
2,AL,35006,1200.0,1200.0,57418.0,1040.0,43707.0,,,,
3,AL,35007,11940.0,11940.0,697882.0,10180.0,545418.0,siluria brewing company,145 1st ave w,Alabaster,AL
4,AL,35010,7910.0,7910.0,384319.0,6700.0,266658.0,,,,
5,AL,35014,1620.0,1620.0,75228.0,1410.0,57364.0,,,,
6,AL,35016,7130.0,7130.0,366988.0,5680.0,262108.0,,,,
7,AL,35019,890.0,890.0,38993.0,740.0,30460.0,,,,
8,AL,35020,9050.0,9050.0,251540.0,7930.0,207009.0,,,,
9,AL,35022,9800.0,9800.0,551747.0,8270.0,432275.0,,,,
10,AL,35023,10050.0,10050.0,469381.0,8330.0,358387.0,,,,
11,AL,35031,2860.0,2860.0,121339.0,2400.0,95760.0,,,,
12,AL,35033,1380.0,1380.0,81906.0,1160.0,59485.0,,,,
13,AL,35034,1390.0,1390.0,52266.0,1230.0,40327.0,,,,
14,AL,35035,570.0,570.0,37725.0,460.0,21504.0,,,,
15,AL,35040,7590.0,7590.0,402014.0,6780.0,332262.0,,,,
16,AL,35042,2200.0,2200.0,103462.0,1880.0,81515.0,,,,
17,AL,35043,5070.0,5070.0,422071.0,4300.0,317647.0,,,,
18,AL,35044,3060.0,3060.0,128191.0,2610.0,96251.0,,,,
19,AL,35045,5500.0,5500.0,257571.0,4630.0,192997.0,,,,
20,AL,35046,2350.0,2350.0,125440.0,1890.0,90849.0,,,,
21,AL,35049,1550.0,1550.0,76185.0,1300.0,61363.0,,,,
22,AL,35051,3290.0,3290.0,208502.0,2750.0,142647.0,,,,
23,AL,35053,1050.0,1050.0,67089.0,740.0,41015.0,,,,
24,AL,35054,1820.0,1820.0,127737.0,1410.0,78989.0,,,,
25,AL,35055,7950.0,7950.0,415554.0,6610.0,297425.0,goat island brewing,1646 a john h cooper drive,Cullman,AL
26,AL,35057,5290.0,5290.0,285110.0,4450.0,212561.0,,,,
27,AL,35058,4220.0,4220.0,215699.0,3500.0,158418.0,,,,
28,AL,35060,160.0,160.0,4445.0,130.0,3526.0,,,,
29,AL,35061,640.0,640.0,22427.0,550.0,17170.0,,,,
30,AL,35062,3220.0,3220.0,171707.0,2720.0,131341.0,,,,
31,AL,35063,1200.0,1200.0,52224.0,1020.0,40050.0,,,,
32,AL,35064,4300.0,4300.0,147677.0,3710.0,110856.0,,,,
33,AL,35068,3760.0,3760.0,180971.0,3210.0,147047.0,,,,
34,AL,35071,7480.0,7480.0,464235.0,6100.0,345666.0,,,,
35,AL,35072,1820.0,1820.0,72208.0,1580.0,57255.0,,,,
36,AL,35073,930.0,930.0,36588.0,760.0,27810.0,,,,
37,AL,35077,5210.0,5210.0,223225.0,4380.0,172400.0,,,,
38,AL,35078,870.0,870.0,43268.0,730.0,32829.0,,,,
39,AL,35079,3420.0,3420.0,185521.0,2960.0,145443.0,,,,
40,AL,35080,7840.0,7840.0,562560.0,6850.0,458108.0,,,,
41,AL,35083,1200.0,1200.0,54355.0,1030.0,43388.0,,,,
42,AL,35085,3400.0,3400.0,153921.0,2930.0,124434.0,,,,
43,AL,35087,840.0,840.0,33612.0,700.0,25658.0,,,,
44,AL,35089,750.0,750.0,24222.0,660.0,19884.0,,,,
45,AL,35091,1260.0,1260.0,86371.0,1140.0,73067.0,,,,
46,AL,35094,6290.0,6290.0,352220.0,5240.0,256438.0,,,,
47,AL,35096,3420.0,3420.0,171424.0,2930.0,134892.0,,,,
48,AL,35097,770.0,770.0,37608.0,640.0,29639.0,,,,
49,AL,35098,560.0,560.0,24644.0,450.0,19642.0,,,,
50,AL,35111,6970.0,6970.0,438293.0,5910.0,338664.0,,,,
51,AL,35112,180.0,180.0,5893.0,150.0,5132.0,,,,
52,AL,35114,3070.0,3070.0,198704.0,2640.0,161605.0,,,,
53,AL,35115,5200.0,5200.0,232431.0,4350.0,173542.0,,,,
54,AL,35116,2000.0,2000.0,123862.0,1650.0,90991.0,,,,
55,AL,35117,2680.0,2680.0,168588.0,2210.0,128244.0,,,,
56,AL,35118,1350.0,1350.0,61394.0,1100.0,45049.0,,,,
57,AL,35120,6110.0,6110.0,324451.0,5420.0,266963.0,,,,
58,AL,35121,5880.0,5880.0,306816.0,4760.0,208682.0,,,,
59,AL,35124,11730.0,11730.0,940188.0,9720.0,633974.0,,,,
60,AL,35125,4390.0,4390.0,199723.0,3760.0,150842.0,,,,
61,AL,35126,9500.0,9500.0,501447.0,8150.0,393464.0,,,,
62,AL,35127,4340.0,4340.0,222942.0,3720.0,173570.0,,,,
63,AL,35128,4270.0,4270.0,262744.0,3570.0,187000.0,,,,
64,AL,35130,1200.0,1200.0,54045.0,1000.0,39765.0,,,,
65,AL,35131,1480.0,1480.0,62565.0,1280.0,51523.0,,,,
66,AL,35133,1560.0,1560.0,78422.0,1290.0,57908.0,,,,
67,AL,35135,810.0,810.0,45183.0,670.0,34966.0,,,,
68,AL,35136,650.0,650.0,31357.0,520.0,21044.0,,,,
69,AL,35143,1240.0,1240.0,67377.0,970.0,45407.0,,,,
70,AL,35146,4520.0,4520.0,293899.0,3760.0,217178.0,,,,
71,AL,35147,2280.0,2280.0,163944.0,1980.0,124456.0,,,,
72,AL,35148,1060.0,1060.0,45598.0,870.0,32132.0,,,,
73,AL,35149,240.0,240.0,8442.0,210.0,7199.0,,,,
74,AL,35150,6940.0,6940.0,297473.0,6060.0,224838.0,,,,
75,AL,35151,2940.0,2940.0,143276.0,2500.0,112965.0,,,,
76,AL,35160,9680.0,9680.0,405145.0,8280.0,298137.0,,,,
77,AL,35171,1330.0,1330.0,72157.0,1170.0,56240.0,,,,
78,AL,35172,1120.0,1120.0,47755.0,940.0,37946.0,,,,
79,AL,35173,12710.0,12710.0,1060223.0,10610.0,773258.0,slag heap brewing company,227 main st,Trussville,AL
80,AL,35175,2060.0,2060.0,122506.0,1660.0,83390.0,,,,
81,AL,35176,330.0,330.0,14056.0,280.0,11275.0,,,,
82,AL,35178,1460.0,1460.0,67281.0,1220.0,48532.0,,,,
83,AL,35179,3730.0,3730.0,189961.0,3150.0,144047.0,,,,
84,AL,35180,5680.0,5680.0,314796.0,4820.0,245749.0,,,,
85,AL,35183,280.0,280.0,13040.0,230.0,9932.0,,,,
86,AL,35184,2080.0,2080.0,92146.0,1840.0,74163.0,,,,
87,AL,35186,2020.0,2020.0,147767.0,1680.0,98555.0,,,,
88,AL,35188,1170.0,1170.0,62818.0,1050.0,51312.0,,,,
89,AL,35203,1350.0,1350.0,138219.0,1140.0,73294.0,,,,
90,AL,35204,3590.0,3590.0,91630.0,3180.0,74045.0,,,,
91,AL,35205,7630.0,7630.0,445366.0,6800.0,294469.0,,,,
92,AL,35206,6530.0,6530.0,195322.0,5790.0,163065.0,,,,
93,AL,35207,3280.0,3280.0,83879.0,2860.0,68971.0,,,,
94,AL,35208,5790.0,5790.0,160292.0,5100.0,132099.0,,,,
95,AL,35209,11970.0,11970.0,1315379.0,10180.0,729711.0,the grocery brewpub,2823 central ave ste 107,Birmingham,AL
96,AL,35210,6580.0,6580.0,380337.0,5420.0,269710.0,,,,
97,AL,35211,10610.0,10610.0,329763.0,9300.0,268086.0,,,,
98,AL,35212,4710.0,4710.0,167703.0,4270.0,136280.0,,,,
