,Brewery,Address,City,State,ZIP Code
0,5 rivers brewing llc,nan,Spanish Fort,AL,36527.0
1,avondale brewing co,201 41st st s,Birmingham,AL,35222.0
2,back forty beer co,200 n 6th st,Gadsden,AL,35901.0
3,back forty beer company - birmingham,3201 1st avenue n,Birmingham,AL,35222.0
4,below the radar brewing co,220 holmes ave ne,Huntsville,AL,35801.0
5,big beach brewing company,300 e 24th ave,Gulf Shores,AL,36542.0
6,birmingham district brewing,2201 2nd ave s ste 102,Birmingham,AL,35233.0
7,black warrior brewing co.,2216 university blvd,Tuscaloosa,AL,35401.0
8,blue pants brewery,"500 lanier rd, bld 1 - ste a",Madison,AL,35758.0
11,cahaba brewing co,4500 5th ave s ste c,Birmingham,AL,35222.0
13,chattahoochee brewing co,505 13th st ste a,Phenix City,AL,36867.0
14,cheaha brewing co,1208 walnut ave,Anniston,AL,36201.0
15,"common bond brewers, llc",424 bibb street suite 150,Montgomery,AL,36104.0
16,cross-eyed owl brewing co.,105 1st ave ne,Decatur,AL,35601.0
17,druid city brewing,607 14th st,Tuscaloosa,AL,35401.0
18,fairhope brewing co,914 nichols ave,Fairhope,AL,36532.0
19,folklore brewing,153 mary lou ln,Dothan,AL,36301.0
20,garr's beer co.,2620 clinton ave. w,Huntsville,AL,35805.0
21,ghost train brewing co,2616 3rd ave s,Birmingham,AL,35233.0
22,goat island brewing,1646 a john h cooper drive,Cullman,AL,35055.0
23,good people brewing co,114 14th st s,Birmingham,AL,35233.0
24,green bus brewing,206 eustis ave se,Huntsville,AL,35801.0
25,gts on the bay,26189 canal rd,Orange Beach,AL,36561.0
26,haint blue brewing company,806 monroe street,Mobile,AL,36602.0
28,innerspace brewing company,2414 clinton ave w,Huntsville,AL,35805.0
29,mad malts brewery & tap room,109 maple ave nw,Huntsville,AL,35801.0
30,main channel brewing company,2090 gunter ave,Guntersville,AL,35976.0
32,old black bear brewing,208 main st,Madison,AL,35758.0
34,red clay brewing company,704 n railroad ave,Opelika,AL,36801.0
35,rocket republic brewing company,289 production ave,Madison,AL,35758.0
36,salty nut brewery,2406 clinton ave w,Huntsville,AL,35805.0
38,serda brewing company,600 government st,Mobile,AL,36602.0
39,siluria brewing company,145 1st ave w,Alabaster,AL,35007.0
40,"singin' river brewing company, llc",526 e college st,Florence,AL,35630.0
41,slag heap brewing company,227 main st,Trussville,AL,35173.0
43,straight to ale,2610 clinton ave w,Huntsville,AL,35805.0
44,tallulah brewing company,1804 4th ave s,Jasper,AL,35501.0
45,the grocery brewpub,2823 central ave ste 107,Birmingham,AL,35209.0
46,the railyard brewing co,12 w jefferson st ste 100,Montgomery,AL,36104.0
47,trim tab brewing,2721 5th ave s,Birmingham,AL,35233.0
48,twisted barley brewing company,520 19th st w,Jasper,AL,35501.0
49,yellowhammer brewery,2600 clinton ave w,Huntsville,AL,35805.0
50,49th state brewing co,248 parks hwy 5 mile,Healy,AK,99743.0
51,49th state brewing co - anchorage,717 w 3rd ave,Anchorage,AK,99501.0
52,alaskan brewing co.,5429 shaune dr,Juneau,AK,99801.0
53,anchorage brewing co,148 w 91st ave,Anchorage,AK,99515.0
54,arkose brewery,650 e steel loop,Palmer,AK,99645.0
55,baleen brewing co.,884 mizzen lane,Ketchikan,AK,99901.0
56,baranof island brewing co,1209 sawmill creek rd ste a,Sitka,AK,99835.0
57,barnaby brewing company,165 shattuck way,Juneau,AK,99801.0
58,bawden street brewing co,325 bawden st,Ketchikan,AK,99901.0
59,bearpaw river brewing co,4605 e palmer wasilla hwy,Wasilla,AK,99654.0
60,black spruce brewing company,3290 peger rd ste b,Fairbanks,AK,99709.0
61,bleeding heart brewery,1150 s colony way ste 3 pmb 618,Palmer,AK,99645.0
62,broken tooth brewing co,2021 spar ave,Anchorage,AK,99501.0
63,"cooper landing brewing company, llc.",34898 caribou heights cir,Cooper Landing,AK,99572.0
64,cynosure brewing,144 e potter dr unit e,Anchorage,AK,99518.0
65,denali brewing company,37083 talkeetna spur rd,Talkeetna,AK,99676.0
66,devil's club brewing,100 n franklin st,Juneau,AK,99801.0
67,gakona brewing company,"po box 336 mile 0.5 tok cutoff hwy, lot 11",Gakona,AK,99586.0
68,girdwood brewing company,2700 alyeska highway,Girdwood,AK,99587.0
69,glacier brewhouse,737 w 5th ave ste 110,Anchorage,AK,99501.0
70,"grace ridge brewing, inc.",3388 b st suite 2,Homer,AK,99603.0
72,haines brewing co,327 main st,Haines,AK,99827.0
73,homer brewing co,1411 lake shore dr,Homer,AK,99603.0
74,hoodoo brewing co,1951 fox ave,Fairbanks,AK,99701.0
75,humpy's great alaskan alehouse,610 w 6th ave,Anchorage,AK,99501.0
76,icy strait brewery,286 front st,Hoonah,AK,99829.0
77,kassik's brewery,47160 spruce haven st,Kenai,AK,99611.0
78,kenai river brewing co,308 homestead ln,Soldotna,AK,99669.0
79,king street brewing co,9050 king street,Anchorage,AK,99515.0
80,klondike brewing company,365 2nd ave,Skagway,AK,99840.0
81,"kodiak island brewing co, llc",117 lower mill bay rd,Kodiak,AK,99615.0
82,last frontier brewing company,238 n boundary st,Wasilla,AK,99654.0
83,matanuska brewing company,513 s valley way,Palmer,AK,99645.0
84,midnight sun brewing co,8111 dimond hook dr,Anchorage,AK,99507.0
86,odd man rush,10930 mausel st ste a1,Eagle River,AK,99577.0
87,"resolution brewing company, llc",3024 mountain view drive,Anchorage,AK,99501.0
88,roughwoods inn,623 north a st,Nenana,AK,99760.0
89,seward brewing,139 4th ave,Seward,AK,99664.0
90,silver gulch brewing co,2195 old steese highway,Fox,AK,99712.0
91,skagway brewing co,250 4th ave.,Skagway,AK,99840.0
92,st elias brewing co,434 sharkathmi ave,Soldotna,AK,99669.0
94,12 west brewing company,3000 e ray rd bldg 6,Gilbert,AZ,85296.0
96,1912 brewing,2045 n forbes blvd ste 105,Tucson,AZ,85745.0
97,8-bit aleworks,1050 n fairway dr bldg f ste 10,Avondale,AZ,85323.0
98,"arizona brewing company, llc",8790 e via de ventura #4456,SCOTTSDALE,AZ,85258.0
100,arizona wilderness brewing,721 n arizona ave,Gilbert,AZ,85233.0
101,bad water brewing,4216 n brown ave,Scottsdale,AZ,85251.0
102,barley brothers brewery,1425 mcculloch blvd n,Lake Havasu City,AZ,86403.0
103,barnstar brewing,4050 north tonto rd (forest service rd.102),Skull Valley,AZ,86338.0
104,barrio brewing co,800 e 16th st,Tucson,AZ,85719.0
105,beaver street brewery,11 s beaver st ste 1,Flagstaff,AZ,86001.0
106,"beer research institute, the",1641 s stateley dr ste 104,Mesa,AZ,85204.0
107,bjs restaurant & brewery - chandler,3155 w chandler blvd,Chandler,AZ,85226.0
108,black bridge brewery,421 e beale st,Kingman,AZ,86401.0
109,black horse brewery,1058 burton rd,Show Low,AZ,85901.0
110,blackrock brewers,1664 s research loop ste 200,Tucson,AZ,85710.0
111,bone haus brewing,14825 e shea blvd ste 101,Fountain Hills,AZ,85268.0
112,borderlands brewing co,119 e toole ave,Tucson,AZ,85701.0
114,"button brew house, llc",6800 n camino martin ste 160,Tucson,AZ,85741.0
115,catalina brewing company,6918 n camino martin,Tucson,AZ,85741.0
116,cave creek beer co,7100 e cave creek rd,Cave Creek,AZ,85331.0
117,college street brewhouse and pub,1940 college dr,Lake Havasu City,AZ,86403.0
118,copper brothel brewery,3112 hwy 83,Sonoita,AZ,85637.0
119,copper hop brewing co/copper hop ranch,5 fairview ln,Elgin,AZ,85611.0
120,copper mine brewing co,3455 s palo verde rd ste 135,Tucson,AZ,85713.0
121,coppertop alehouse and still works,220 s montezuma st,Prescott,AZ,86303.0
122,corbett brewing company,309 e 7th st,Tucson,AZ,85705.0
123,craft 64,6922 e main st,Scottsdale,AZ,85251.0
124,crooked tooth brewing co.,228 e 6th st,Tucson,AZ,85705.0
125,dark sky brewing co.,117 n beaver st ste a,Flagstaff,AZ,86001.0
126,desert eagle brewing company,150 w main st,Mesa,AZ,85201.0
127,desert monks brewing co.,1094 s gilbert rd ste 101,Gilbert,AZ,85296.0
128,dillinger brewing company,3895 n oracle rd,Tucson,AZ,85705.0
129,dragoon brewing co,1859 w grant rd ste 111,Tucson,AZ,85745.0
130,dubina brewing,17035 n 67th ave ste 6,Glendale,AZ,85308.0
131,edge of the world brewery,70 n central st,Colorado City,AZ,86021.0
132,elevate your passion brewing,2209 w 1st st # a107,Tempe,AZ,85281.0
133,flagstaff brewing co,16 e route 66,Flagstaff,AZ,86001.0
134,flix brewhouse,1 w chandler blvd,Chandler,AZ,85225.0
135,flying basset brewing,720 w ray rd,Gilbert,AZ,85233.0
136,four peaks brewery & taproom,2401 s wilson st,Tempe,AZ,85282.0
137,four peaks brewing co,1340 e 8th st ste 104,Tempe,AZ,85281.0
138,freak'n brewing company,9299 w olive ave ste 513,Peoria,AZ,85345.0
140,goldwater brewing co,3608 n scottsdale rd,Scottsdale,AZ,85251.0
141,gordon biersch brewery restaurant - glendale,6915 n 95th ave,Glendale,AZ,85305.0
142,gordon biersch brewery restaurant - tempe,420 s mill ave ste 201,Tempe,AZ,85281.0
143,grand canyon brewing,301 n 7th st ste 101,Williams,AZ,86046.0
144,grand canyon brewing company,233 w route 66,Williams,AZ,86046.0
145,granite mountain brewing,123 n cortez st,Prescott,AZ,86302.0
146,green feet brewing,3669 e 44th st,Tucson,AZ,85713.0
147,greenwood brewing llc,600 n 4th st apt 210,Phoenix,AZ,85004.0
148,hangar 24 craft brewing - lake havasu city,5600 az-95 ste 6,Lake Havasu City,AZ,86404.0
149,harbottle brewing company,3820 s palo verde rd ste 102,Tucson,AZ,85714.0
150,helio basin brewing company,3935 e thomas rd,Phoenix,AZ,85018.0
151,helluva brewing company,3950 w ray rd ste 5,Chandler,AZ,85226.0
152,helton brewing company,2144 e indian school rd,Phoenix,AZ,85016.0
153,historic brewing company,4366 e huntington dr bldg 2,Flagstaff,AZ,86004.0
154,hop central brewery and taproom,5055 w ray rd ste 2,Chandler,AZ,85226.0
155,huss brewing,1520 w mineral rd ste 102,Tempe,AZ,85283.0
156,insurgent brewing co. llc,990 n state route 89 ste b,Chino Valley,AZ,86323.0
157,iron john's brewing company,245 s plumer ave ste 27,Tucson,AZ,85719.0
159,lochiel brewing,7143 e southern ave ste 131,Mesa,AZ,85209.0
160,loco patron mexican brewery,14950 n northsight blvd,Scottsdale,AZ,85260.0
161,lonesome valley brewing,3040 n windsong dr ste 101,Prescott Valley,AZ,86314.0
162,lumberyard brewing co taproom and grille,5 s san francisco st,Flagstaff,AZ,86001.0
163,mcfate brewing company,1312 n scottsdale rd,Scottsdale,AZ,85257.0
164,mcfate's tap + barrel,7337 e shea blvd ste 105,Scottsdale,AZ,85260.0
165,mesquite river brewing,"13610 n scottsdale rd, suite 18",Scottsdale,AZ,85254.0
166,"mother bunch brewing, inc.",825 n 7th st,Phoenix,AZ,85006.0
167,mother road brewery and taproom,1300 east butler ave ste 200,Flagstaff,AZ,86001.0
168,mother road brewing co,1300 e butler ave ste 200,Flagstaff,AZ,86001.0
170,mudshark brewing co,210 swanson ave,Lake Havasu City,AZ,86403.0
171,north mountain brewing co,522 e dunlap ave,Phoenix,AZ,85020.0
172,o.h.s.o. brewery,10810 n tatum blvd ste 126,Phoenix,AZ,85028.0
173,o.h.s.o. brewery - gilbert,335 n gilbert rd,Gilbert,AZ,85234.0
174,o.h.s.o. eatery + nanobrewery,4900 e indian school rd,Phoenix,AZ,85018.0
175,oak creek brewery & grill,336 state route 179 ste d201,Sedona,AZ,86336.0
176,oak creek brewing co,2050 yavapai dr ste 2c,Sedona,AZ,86336.0
177,old bisbee brewing,23 brewery ave,Bisbee,AZ,85603.0
178,old ellsworth brewing company,22005 s ellsworth rd,Queen Creek,AZ,85142.0
179,oro brewing company,210 w main st,Mesa,AZ,85201.0
180,pedal haus brewery,730 s mill ave. suite 102,Tempe,AZ,85281.0
181,peoria artisan brewery,10144 w lake pleasant parkway ste 1130,Peoria,AZ,85382.0
183,pinetop brewing company,159 w white mountain blvd,Lakeside,AZ,85929.0
184,prescott brewing co,130 w gurley st ste a,Prescott,AZ,86301.0
186,prison hill brewing co,278 s main st,Yuma,AZ,85364.0
187,public brewhouse,209 n hoff ave,Tucson,AZ,85705.0
188,pueblo vida brewing co,115 e broadway blvd,Tucson,AZ,85701.0
189,ranch house brewery,31390 s amenity drive,Oracle,AZ,85623.0
190,richter aleworks,8279 w lake pleasant pkwy ste 110,Peoria,AZ,85382.0
191,rickety cricket brewing,312 e beale st,Kingman,AZ,86401.0
193,rock bottom brewery - arrowhead,7640 w bell rd,Glendale,AZ,85308.0
194,saddle mountain brewing company,15651 w roosevelt st,Goodyear,AZ,85338.0
196,santan brewing co,495 e. warner rd.,Chandler,AZ,85225.0
197,santan brewing co - uptown chandler,8 s. san marcos pl,Chandler,AZ,85225.0
198,scottsdale beer company,8608 e shea blvd,Scottsdale,AZ,85260.0
199,sedona beer company,465 jordan rd ste 1,Sedona,AZ,86336.0
200,sentinel peak brewing company,4746 e grant rd,Tucson,AZ,85712.0
201,sleepy dog brewing co,1920 e university dr,Tempe,AZ,85281.0
202,sonoran brewing,3002 e washington st,Phoenix,AZ,85034.0
203,state 48 brewery,345 w van buren st,Phoenix,AZ,85003.0
205,sun up brewing co.,322 e camelback rd,Phoenix,AZ,85012.0
207,ten 55 brewing and sausage house,110 e congress st,Tucson,AZ,85701.0
208,ten fifty five brewing,110 e congress street,Tucson,AZ,85701.0
209,that brewery - cottonwood,300 e cherry st unit b,Cottonwood,AZ,86326.0
210,that brewery & pub - pine,3270 n az highway 87,Pine,AZ,85544.0
211,the address brewing / 1702 beer & pizza,1702 e speedway blvd,Tucson,AZ,85719.0
212,the perch pub & brewery,232 s wall st,Chandler,AZ,85225.0
213,the phoenix ale brewery,3002 e washington st # 3002,Phoenix,AZ,85034.0
214,the shop beer co.,922 w 1st st,Tempe,AZ,85281.0
215,thunder canyon brewery,220 e broadway blvd ste 2,Tucson,AZ,85701.0
216,tombstone brewing company,107 e toughnut st,Tombstone,AZ,85638.0
217,transplant city beer co,107 w honeysuckle ave,Litchfield Park,AZ,85340.0
218,two brothers scottsdale tap house and brewery,4321 n scottsdale rd,Scottsdale,AZ,85251.0
219,uncle bear's brewery,612 e germann rd,Gilbert,AZ,85297.0
220,verde brewing company,724 industrial dr unit 7a,Camp Verde,AZ,86322.0
221,walter station brewery,4056 e washington st,Phoenix,AZ,85034.0
222,wanderlust brewing company,1519 n main st ste 102,Flagstaff,AZ,86004.0
225,wren house brewing company,2125 n 24th st,Phoenix,AZ,85008.0
226,apple blossom brewing co,1550 e zion rd,Fayetteville,AR,72703.0
227,bentonville brewing co,1700 s 1st st,Rogers,AR,72756.0
228,bike rack brewing co,410 sw a st ste 6,Bentonville,AR,72712.0
229,bike rack brewing co - 8th street market,801 se 8th st,Bentonville,AR,72712.0
231,brick oven pizza co / brick & forge brew works,814 hwy 62/65 suite 1009d,Harrison,AR,72601.0
232,brick oven pizza co / brick & forge brewing,2410 linwood dr,Paragould,AR,72450.0
233,bubba brew's brewing company,8091 airport rd,Bonnerdale,AR,71933.0
234,buffalo brewing company at the water buffalo,106 s rodney parham rd,Little Rock,AR,72205.0
235,columbus house brewery,701 w north st,Fayetteville,AR,72701.0
236,core brewing - hot springs,833 central ave,Hot Springs National Park,AR,71901.0
237,core brewing - soma,1214 s. main st,Little Rock,AR,72202.0
238,core brewing & distilling co,2470 n lowell rd ste a3,Springdale,AR,72764.0
239,crisis brewing llc,210 s archibald yell blvd,Fayetteville,AR,72701.0
240,damgoode pies,500 president clinton ave,Little Rock,AR,72201.0
241,diamond bear brewing co,600 n broadway st,North Little Rock,AR,72114.0
242,flyway brewing co,314 maple st,North Little Rock,AR,72114.0
243,fort smith brewing company,7500 fort chaffee blvd,Fort Smith,AR,72916.0
244,fossil cove brewing co,1946 n birch ave,Fayetteville,AR,72703.0
246,gravity brew works,11512 hwy 14 e,Big Flat,AR,72617.0
247,hawk moth brewing co,710 n 2nd st,Rogers,AR,72756.0
248,ivory bill brewing co,516 e main st,Siloam Springs,AR,72761.0
249,jjs brewing company,3615 n steele blvd,fayetteville,AR,72703.0
250,lost forty brewing,501 byrd st,Little Rock,AR,72202.0
251,new province brewing company,1310 w hudson rd,Rogers,AR,72756.0
252,norfork brewing company,1237 river ridge rd,Norfork,AR,72658.0
253,ozark beer company,109 n arkansas st,Rogers,AR,72756.0
254,prestonrose farm and brewing co.,201 saint louis valley rd,Paris,AR,72855.0
255,puritan brew company,205 w dickson st,Fayetteville,AR,72701.0
256,rapp's barren brewing company,1343 e 9th st,Mountain Home,AR,72653.0
257,rebel kettle brewing company,822 e 6th st,Little Rock,AR,72202.0
258,refined ale brewery,2221 s cedar st,Little Rock,AR,72204.0
259,rendezvous junction brewing company,2001 s bellview rd ste 2,Rogers,AR,72758.0
260,saddlebock brewery,16600 saddlebock lane,Springdale,AR,72764.0
261,slate rock brewing company,113 s main st,Amity,AR,71921.0
262,sqzbx brewery,236 ouachita ave,Hot Springs ,AR,71901.0
263,stone's throw brewing,402 e 9th st,Little Rock,AR,72202.0
264,superior bathhouse brewery,329 central ave,Hot Springs National Park,AR,71901.0
265,tiny tim's pizza /west mountain brewery,21 w mountain st,Fayetteville,AR,72701.0
266,vino's brewpub,923 w 7th st,Little Rock,AR,72201.0
267,10 barrel brewing co,1501 e st,San Diego,CA,92101.0
268,101 north brewing company,1304 scott st ste d,Petaluma,CA,94954.0
269,13 point brewing,8035 broadway,Lemon Grove,CA,91945.0
270,14 cannons brewing company,31125 via colinas ste 907,Westlake Village,CA,91362.0
271,1849 brewing company,468 sutton way,Grass Valley,CA,95945.0
272,1850 brewing company,5134 bullion st,Mariposa,CA,95338.0
273,21st amendment brewery,2010 williams st unit a,San Leandro,CA,94577.0
274,21st amendment brewery cafe,563 2nd st,San Francisco,CA,94107.0
275,2kids brewing company,8680 miralani dr ste 123,San Diego,CA,92126.0
277,3 iron brewing company,898 via lata ste a,Colton,CA,92324.0
278,32 north brewing co,8655 production ave ste a,San Diego,CA,92121.0
279,47 hills brewing co,137 s linden ave,South San Francisco,CA,94080.0
280,5150 brewing at the brass tap rocklin,5150 commons dr ste 101,Rocklin,CA,95677.0
281,559 local brewing,356 pollasky ave.,Clovis,CA,93612.0
282,6th and la brea,600 south la brea ave,Los Angeles,CA,90036.0
283,7 sisters brewing co,181 tank farm rd ste 110,San Luis Obispo,CA,93401.0
284,8 bit brewing company,26755 jefferson ave ste f,Murrieta,CA,92562.0
285,8one8 brewing company,8951 de soto ave,Canoga Park,CA,91304.0
286,927 beer company,821 cornwall st,Cambria,CA,93428.0
287,abnormal beer company,16990 via tazon ste 123,San Diego,CA,92127.0
288,absolution brewing co,2878 columbia st,Torrance,CA,90503.0
290,admiral maltings,661 howard st,San Francisco,CA,94105.0
291,adobe creek brewing company,67 galli dr ste e,Novato,CA,94949.0
292,aftershock brewing co,28822 old town front st ste 107,Temecula,CA,92590.0
293,alameda island brewing company,1716 park st,Alameda,CA,94501.0
294,alaro craft brewery,2004 capitol ave,Sacramento,CA,95811.0
295,ale industries,3096 e 10th st,Oakland,CA,94601.0
296,alesmith brewing co,9990 alesmith ct,San Diego,CA,92126.0
297,alibi ale works - truckee,10069 bridge st,Truckee,CA,96161.0
298,align brewing co,8680 miralani dr,San Diego,CA,92126.0
299,all-american ale works,5120 e la palma ave ste 103,Anaheim,CA,92807.0
300,almanac beer company,651b w tower ave,Alameda,CA,94501.0
301,alosta brewing co,692 arrow grand cir,Covina,CA,91722.0
303,alpha acid brewing co,121 industrial way ste 12,Belmont,CA,94002.0
304,alpine beer company,6550 mira mesa blvd,San Diego,CA,92121.0
305,alta brewing company,1983 julian avenue,San Diego,CA,92113.0
306,altamont beer works,2402 research dr,Livermore,CA,94550.0
307,alvarado street brewery,1315 dayton st ste e,Salinas,CA,93901.0
308,alvarado street brewery & grill,426 alvarado st,Monterey,CA,93940.0
309,amador brewing company,9659 main st,Plymouth,CA,95669.0
310,ambitious ales,4019 atlantic ave,Long Beach,CA,90807.0
311,amplified ale works,4150 mission blvd ste 208,San Diego,CA,92109.0
312,amplified ale works miramar studio,9030 kenamar dr ste 309,San Diego,CA,92121.0
313,anacapa brewing co,472 e main st,Ventura,CA,93001.0
314,anaheim brewery,336 s anaheim blvd,Anaheim,CA,92805.0
315,anchor brewing co,1705 mariposa st,San Francisco,CA,94107.0
316,anderson valley brewing co,17700 ca-253,Boonville,CA,95415.0
317,angel city brewery,216 s alameda st,Los Angeles,CA,90012.0
318,angry horse brewing,603 w whittier blvd,Montebello,CA,90640.0
319,anheuser-busch inc – fairfield,3101 busch dr,Fairfield,CA,94534.0
320,anheuser-busch inc - los angeles,15800 roscoe blvd,Van Nuys,CA,91406.0
321,arcana brewing company,5621 palmer way ste c,Carlsbad,CA,92010.0
322,archaic craft brewery at centro,140 e main st,Tustin,CA,92780.0
323,armistice brewing company,845 marina bay pkwy suite 1,Richmond,CA,94804.0
324,armstrong brewing co,415 grand ave ste 103,South San Francisco,CA,94080.0
325,arrow lodge brewing,720 e arrow hwy ste c,Covina,CA,91722.0
326,artifex brewing company,919 calle amanecer ste a,San Clemente,CA,92673.0
327,arts district brewing company,828 traction ave,Los Angeles,CA,90013.0
328,asian brothers brewing company,4800 florin rd,Sacramento,CA,95823.0
329,asylum brewing,2970 e. la palma ave. suite d,Anaheim,CA,92806.0
331,attitude brewing company,1985 national ave ste 1115,San Diego,CA,92113.0
332,auburn alehouse,289 washington st,Auburn,CA,95603.0
333,automatic brewing co. / blind lady alehouse,3416 adams ave,San Diego,CA,92116.0
334,aztec brewing company,2330 la mirada dr ste 300,Vista,CA,92081.0
335,babe's bar-b-que and brewhouse,71800 highway 111 ste a176,Rancho Mirage,CA,92270.0
336,back street brewery & tasting room,1884 s santa cruz st,Anaheim,CA,92805.0
337,bagby beer company,601 s coast hwy,Oceanside,CA,92054.0
338,ballast point brewing co / home brew mart,5401 linda vista rd ste 406,San Diego,CA,92110.0
339,ballast point brewing company,9045 carroll way,San Diego,CA,92121.0
343,ballast point brewing company - little italy,2215 india st,San Diego,CA,92101.0
345,bang the drum brewery,950 orcutt rd,San Luis Obispo,CA,93401.0
346,barebottle brewing company,1525 cortland ave,San Francisco,CA,94110.0
347,barley forge brewing,2957 randolph ave ste b,Costa Mesa,CA,92626.0
348,barn brewery,2850 el cajon blvd ste 3,San Diego,CA,92104.0
349,"barrel brothers brewing company, llc",399 business park ct. #506,Windsor,CA,95492.0
350,barrel harbor brewing co.,2575 pioneer ave ste 104,Vista,CA,92081.0
351,barrel head brewhouse,1785 fulton st,San Francisco,CA,94117.0
