,Alpha,FIPS,POPESTIMATE2016,POPESTIMATE2018
0,AL,1,4864745,4887871
1,AK,2,741504,737438
2,AZ,4,6945452,7171646
3,AR,5,2990410,3013825
4,CA,6,39209127,39557045
5,CO,8,5540921,5695564
6,CT,9,3578674,3572665
7,DE,10,949216,967171
8,FL,12,20629982,21299325
9,GA,13,10304763,10519475
10,HI,15,1428105,1420491
11,ID,16,1682930,1754208
12,IL,17,12826895,12741080
13,IN,18,6633344,6691878
14,IA,19,3131785,3156145
15,KS,20,2911263,2911505
16,KY,21,4438229,4468402
17,LA,22,4678215,4659978
18,ME,23,1331370,1338404
19,MD,24,6004692,6042718
20,MA,25,6826022,6902149
21,MI,26,9951890,9995915
22,MN,27,5523409,5611179
23,MS,28,2988298,2986530
24,MO,29,6087203,6126452
25,MT,30,1040863,1062305
26,NE,31,1905924,1929268
27,NV,32,2919772,3034392
28,NH,33,1342373,1356458
29,NJ,34,8874516,8908520
30,NM,35,2092789,2095428
31,NY,36,19641589,19542209
32,NC,37,10156679,10383620
33,ND,38,754353,760077
34,OH,39,11635003,11689442
35,OK,40,3926769,3943079
36,OR,41,4091404,4190713
37,PA,42,12783538,12807060
38,RI,44,1057063,1057315
39,SC,45,4958235,5084127
40,SD,46,862890,882235
41,TN,47,6645011,6770010
42,TX,48,27937492,28701845
43,UT,49,3042613,3161105
44,VT,50,623644,626299
45,VA,51,8410946,8517685
46,WA,53,7294680,7535591
47,WV,54,1830929,1805832
48,WI,55,5772958,5813568
49,WY,56,584290,577737
