,STATE,Mean # Total Income Returns,Mean Total Income,Mean # Returns with Salaries and Wages,Mean Salaries and Wages,Brewery Count,state_name
0,AK,2588.9880952380954,183958.49404761905,2198.5714285714284,127301.08928571429,41,Alaska
1,AL,3469.9507389162563,200435.20197044336,2918.5878489326765,140634.33825944172,42,Alabama
2,AR,2655.411089866157,163030.3881453155,2250.516252390057,105676.30401529637,39,Arkansas
3,AZ,8370.093896713615,531552.8450704225,6929.859154929577,361805.7676056338,118,Arizona
4,CA,11992.881944444445,978355.9032738095,9985.46626984127,667623.0952380953,847,California
5,CO,8576.536231884058,671865.2753623188,7286.492753623188,449537.468115942,403,Colorado
6,CT,6781.340206185567,625322.2164948453,5660.893470790378,419902.6872852234,90,Connecticut
7,DE,7325.694444444444,508821.0138888889,6017.777777777777,332217.65277777775,24,Delaware
8,FL,9925.795454545454,653308.5880681818,7956.714015151515,402579.4441287879,290,Florida
9,GA,6547.085076708508,422329.77963737794,5567.782426778243,305448.5620641562,87,Georgia
10,HI,7520.625,497288.6979166667,6153.4375,333437.0,20,Hawaii
11,IA,1990.584862385321,128966.1743119266,1693.2454128440368,89201.19036697247,89,Iowa
12,ID,4088.6046511627906,256299.6511627907,3395.6201550387595,166110.12403100776,64,Idaho
13,IL,5589.312865497076,431507.78435672517,4730.3216374269,299008.19736842107,234,Illinois
14,IN,4924.546632124352,300567.7215025907,4157.953367875648,215711.77720207255,172,Indiana
15,KS,2394.1176470588234,153166.7026143791,2021.1274509803923,105901.75653594772,47,Kansas
16,KY,2952.121212121212,167430.38095238095,2509.88455988456,118148.3088023088,58,Kentucky
17,LA,3994.0447154471544,243525.23577235773,3393.6178861788617,167619.46341463414,38,Louisiana
18,MA,6924.04593639576,623742.4328621908,5865.406360424028,424512.65017667843,164,Massachusetts
19,MD,7372.532467532467,575364.6623376623,6169.350649350649,411240.4437229437,98,Maryland
20,ME,2447.057471264368,144495.01149425286,2056.0,98807.26666666666,118,Maine
21,MI,5770.321361058601,375873.4640831758,4673.421550094518,252632.1899810964,334,Michigan
22,MN,3768.655172413793,280782.28390804597,3209.0459770114944,197484.00459770116,176,Minnesota
23,MO,3226.6313559322034,198418.41419491524,2694.0148305084745,137161.13877118644,117,Missouri
24,MS,3101.5151515151515,155318.00252525252,2645.6060606060605,110818.86616161616,16,Mississippi
25,MT,3354.3624161073826,202422.10402684563,2781.3758389261743,125602.95637583893,87,Montana
26,NC,6767.668845315904,424206.36819172115,5709.531590413943,298625.628540305,285,North Carolina
27,ND,1400.1730103806228,96351.29065743944,1216.7474048442907,65228.86851211073,16,North Dakota
28,NE,1906.6267465069861,121799.12774451097,1651.2574850299402,84571.86227544911,51,Nebraska
29,NH,3697.289377289377,283500.50915750914,3150.0,201676.20512820513,79,New Hampshire
30,NJ,7762.516666666666,680532.0833333334,6519.9,481214.15,117,New Jersey
31,NM,4284.887459807074,236743.9421221865,3495.4983922829583,157968.48553054663,85,New Mexico
32,NV,8912.790697674418,578053.3546511628,7543.779069767442,371976.1918604651,44,Nevada
33,NY,6121.702008928572,507492.50390625,5074.458705357143,333373.9464285714,392,New York
34,OH,5528.795282224094,343913.7304128054,4659.5113732097725,241577.57877000843,276,Ohio
35,OK,2721.77065767285,161426.11804384485,2290.775716694772,111633.8549747049,40,Oklahoma
36,OR,7900.532319391635,527233.7984790874,6509.277566539924,349877.1692015209,276,Oregon
37,PA,4389.878822850548,301357.4206578188,3637.126370455857,209354.7587997692,340,Pennsylvania
38,RI,7674.268292682927,490804.5731707317,6553.536585365854,348671.1951219512,26,Rhode Island
39,SC,6298.843537414966,379811.1836734694,5315.328798185941,256551.6349206349,84,South Carolina
40,SD,1841.4521452145214,113218.92079207921,1568.6138613861385,72364.51485148515,28,South Dakota
41,TN,5241.046875,320465.215625,4447.453125,225719.9265625,92,Tennessee
42,TX,7052.898314301251,473070.89722675364,6063.6867862969,343372.3675910821,285,Texas
43,UT,5230.94696969697,347598.79924242425,4601.931818181818,244189.03787878787,37,Utah
44,VA,5483.43201754386,434196.3432017544,4690.888157894737,305164.74342105264,227,Virginia
45,VT,1747.5,109923.14015151515,1459.9621212121212,73183.04166666667,63,Vermont
46,WA,8170.108843537415,665471.1823129251,6880.598639455782,461394.9591836735,375,Washington
47,WI,4535.932835820896,295490.32835820894,3828.9800995024875,205825.78855721393,201,Wisconsin
48,WV,1309.1423670668953,67677.12864493996,1082.0754716981132,48159.87478559177,26,West Virginia
49,WY,2665.7664233576643,207355.78832116787,2261.3868613138684,119579.40875912408,29,Wyoming
